experiment_name,start_time,backend,batch_size,centers_size_gb,components_size_gb,cuml_accel_active,cuml_accel_error,cuml_accel_install_called,dataset,device,effective_batch_size,explained_variance_pct,inertia,inp,input_dims,input_dims_to_kmeans,input_n_components,input_n_components_to_umap,input_size_gb,k,kmeans_minutes,kmeans_purity,kmeans_seconds,labels_size_gb,layer_num,max_iter,mem_input_gb,mem_output_gb,mem_total_gb,memory_estimate_input_size_gb,memory_estimate_output_size_gb,memory_estimate_total_gb,metric,min_dist,n_components,n_features,n_neighbors,n_samples,nmi,original_pca_n_components_before_slice,out,out_dir,output_size_gb,pc1_pc2_cum_variance_pct,pc1_variance_pct,pc2_variance_pct,pca2d_seconds,pca_components_size_gb,pca_explained_variance_pct,pca_input_size_gb,pca_output_size_gb,pca_path,pca_seconds,pca_total_gpu_gb,precision,purity,random_state,reduction_type,save_every,silhouette_2d,silhouette_2d_euclidean,skipped_n_components,source_path,split,total_gb,total_gpu_gb,umap_duration_seconds,umap_metric,umap_minutes,umap_n_neighbors,umap_seconds,umap_source_reduction_type,zca_components_size_gb,zca_explained_variance_pct,zca_input_size_gb,zca_output_size_gb,zca_seconds,zca_total_gpu_gb
kmeans_on_umap_from_sliced_s15,2025-06-05 02:29:58.041,gpu,,2.2351741790771484e-08,,,,,,,,,1972253.5,,,2,,35,0.004098951816558838,3,0.002369488483236637,,0.14216930899419822,0.002049475908279419,11,300,,,,,,,,,,,,,0.0001283307187283368,50,,,,,,,,,,,,,,,,0.3385028137678314,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:29:27.977,,,,,,,,snli,,,,,,35,,35,,,,,,,,11,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_11,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_11/zca_snli_50_layer11_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,10.531234780006343,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:28:46.066,gpu,,2.2351741790771484e-08,,,,,,,,,915961.625,,,2,,35,0.004098951816558838,3,0.00202846391669785,,0.12170783500187099,0.002049475908279419,10,300,,,,,,,,,,,,,0.005323582001616052,50,,,,,,,,,,,,,,,,0.37270790617865607,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:28:10.047,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,manhattan,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/pca_snli_50_layer10_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,16.73357387201395,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:27:34.357,gpu,,2.2351741790771484e-08,,,,,,,,,1169056.75,,,2,,35,0.004098951816558838,3,0.0029215998166667607,,0.17529598900000565,0.002049475908279419,10,300,,,,,,,,,,,,,0.005337335007320493,50,,,,,,,,,,,,,,,,0.3732513923424799,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:26:57.439,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/pca_snli_50_layer10_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,17.242310194997117,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:26:21.493,gpu,,2.2351741790771484e-08,,,,,,,,,1392162.5,,,2,,35,0.004098951816558838,3,0.002454429199860897,,0.14726575199165381,0.002049475908279419,10,300,,,,,,,,,,,,,0.0030618638376836652,50,,,,,,,,,,,,,,,,0.3632050778693888,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:25:49.069,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,manhattan,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/pca_snli_50_layer10_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,12.905299239995657,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:25:12.813,gpu,,2.2351741790771484e-08,,,,,,,,,1569172.875,,,2,,35,0.004098951816558838,3,0.002058935849830353,,0.12353615098982118,0.002049475908279419,10,300,,,,,,,,,,,,,0.003724387965245089,50,,,,,,,,,,,,,,,,0.3685581439311318,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:24:42.169,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/pca_snli_50_layer10_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,10.677213089016732,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:24:00.752,gpu,,2.2351741790771484e-08,,,,,,,,,1355924.25,,,2,,35,0.004098951816558838,3,0.0028340724500594662,,0.17004434700356796,0.002049475908279419,10,300,,,,,,,,,,,,,0.0011024961242127723,50,,,,,,,,,,,,,,,,0.3526879844115808,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:23:24.131,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/zca_snli_50_layer10_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,17.15550034600892,,,,,,,
